duplicate_cluster_id,latitude,longitude,row_count,unique_company_count,same_coordinates_multiple_companies,company_names,locations,addresses,labeled_counties,computed_counties
DUP005,32.8772531,-85.183728,4,4,True,Hyundai MOBIS (Georgia) | Hyundai Transys Georgia Seating Systems | Kyungshin America Corp. | Seoyon E-Hwa Interior Systems,"Fayetteville, Fayette County | Macon, Bibb County | Marietta, Cobb County | Troup County","200 Seoyon E-HWA Blvd, West Point, GA 31833 | 300 Hyundai MOBIS Dr, West Point, GA 31833 | 801 Transys Pkwy, West Point, GA 31833 | 85 Kyungshin Dr, West Point, GA 31833",Bibb | Cobb | Fayette | Troup,Troup
DUP004,32.4705166,-85.8969782,3,3,True,Hanon Systems USA LLC | Hitachi Astemo | Hitachi Astemo Americas Inc.,"Coweta County | Fayetteville, Fayette County | Griffin, Spalding County","400 Hanon Dr, Shorter, GA 36075",Coweta | Fayette | Spalding,
DUP008,33.0501,-85.008963,3,1,False,Sewon America Inc.,"Athens, Clarke County | Atlanta, Fulton County | Marietta, Cobb County","210 Sewon Dr, LaGrange, GA 30241",Clarke | Cobb | Fulton,Troup
DUP016,34.2647050791808,-83.8326067899608,3,1,False,ZF Gainesville LLC,Georgia,"1261 Palmour Dr SW, Gainesville, GA 30501",,Hall
DUP001,22.093612,82.149816,2,2,True,Hyundai & LG Energy Solution (LGES) | Hyundai Industrial Co.,"Cumming, Forsyth County | Valdosta, Lowndes County","700 Hyundai Blvd, Ellabell, GA 31308",Forsyth | Lowndes,
DUP002,32.0869786,-81.1109775,2,2,True,Great Dane LP | Great Dane Trailers,"Muscogee County | Tifton, Tift County","602 E Lathrop Ave, Savannah, GA 31415",Muscogee | Tift,Chatham
DUP003,32.159233,-81.502963,2,2,True,Hyundai Motor Group | SK Battery America,"Hartwell, Hart County | McDonough, Henry County","700 Hyundai Blvd, Ellabell, GA 31308",Hart | Henry,Bryan
DUP006,32.903183,-85.159941,2,2,True,Hyundai Transys Georgia Powertrain | Seoyon E-HWA,"Dublin, Laurens County | Hazlehurst, Davis County","100 Powertrain Way, West Point, GA 31833 | 200 Seoyon E-HWA Blvd, West Point, GA 31833",Davis | Laurens,Troup
DUP009,33.589481,-83.518495,2,2,True,Lund International Inc. | Lund International Inc./Ventshade Division,"Savannah, Chatham County | Statesboro, Bulloch County","189 Excalibur Dr, Madison, GA 30650",Bulloch | Chatham,Morgan
DUP011,34.10601,-83.589021,2,2,True,JAC Products Inc. | Sejong Georgia LLC,"Clarkesville, Habersham County | Troup County","100 Sejong Way, Jefferson, GA 30549 | 120 Logistics Pkwy, Jefferson, GA 30549",Habersham | Troup,Jackson
DUP013,34.1674763,-83.9581455,2,2,True,ALBAform Inc. | Apache Mills Inc.,"Calhoun, Gordon County | Hawkinsville, Pulaski County","3270 Joe Jerkins Blvd SE, Calhoun, GA 30701 | 6505 McEver Rd, Flowery Branch, GA 30542",Gordon | Pulaski,Hall
DUP014,34.197573,-84.0452959,2,2,True,Jefferson Southern Corp. | Jefferson Southern Corporation,"Dahlonega, Lumpkin County | Monroe, Walton County","1 Jefferson Southern Dr, Commerce, GA 30529",Lumpkin | Walton,Forsyth
DUP017,34.8787288016289,-85.497643922621,2,2,True,Trenton Pressing | Trenton Pressing Inc.,Georgia,"505 N Industrial Blvd, Trenton, GA 30752",,Dade
DUP007,33.0137815,-85.063217,2,1,False,Freudenberg-NOK,"Carnesville, Franklin County | Warrenton, Warren County","1618 Lukken Industrial Dr, LaGrange, GA 30240",Franklin | Warren,Troup
DUP010,33.9151041,-84.2039953,2,1,False,Arising Industries Inc.,"Lawrenceville, Gwinnett County | Macon, Bibb County","6010 Unity Dr, Norcross, GA 30071",Bibb | Gwinnett,Gwinnett
DUP012,34.1446878814573,-84.7948577272343,2,1,False,TI Fluid Systems,"Atlanta, Fulton County | Georgia (facility presence)","2 Swisher Dr, Cartersville, GA 30120",Fulton,Bartow
DUP015,34.2328208,-83.8634499,2,1,False,Haering Precision USA LP,"Carroll County | Dahlonega, Lumpkin County","5000 Frontage Rd, Buford, GA 30518",Carroll | Lumpkin,Hall
